claim_id,claim_text
G0394,Bu saglikla ilgili iddia bilimsel olarak kesinlikle yanlistir.
G0395,Türk üniversitesi AB Horizon projesine ortak oldu.
G0396,"Bu urun geri cagrıldı, ciddi tehlike arz ediyor."
G0397,Turkiye Arap ülkeleriyle yatirim forumu düzenledi.
G0398,Disisleri Bakanligi bir arabuluculuk anlasmasi sagladi.
G0399,Bu arastirma bulgularinin gercekligi sorgulanmaktadir.
G0400,Deprem tahmincisi: Bu ayin sonunda 9 buyuklugunde deprem olacak.
G0401,Borsa Istanbul BIST 100 endeksi günü yüklenis ile kapatti.
G0402,TOBB yilin girisimcisini ödüllendirdi.
G0403,Turkiye günes enerjisi kapasitesi rekor düzeye ulasti.
G0404,Hazine ve Maliye Bakanligi yeni KDV duzenlemesini duyurdu.
G0405,Yeni vergi sistemiyle esnafin tumu iflas edecek.
G0406,Hukumet gizli kararname ile 100 sirketi daha kapatti.
G0407,"Bu rapor verileri saptırılmıs, gercek tablo cok farkli."
G0408,Bu politikaci hakkindaki iddialarin tumu asilsizdir.
G0409,Bu ilac kullanimi kalici hasara yol aciyor.
G0410,Turkiye Avrupa Konseyi toplantisinda temsil edildi.
G0411,"Bu cozum imkansiz, bu iddia teknik olarak yanlistir."
G0412,"Bu fotograf bugunun olayi degil, yillar oncesine ait."
G0413,Turkiye yüksek teknoloji ihracatini artirmayi hedefliyor.
G0414,Bu cocuk oyuncagi kanserojen madde icerebilir.
G0415,Bu anket sonuclari tamamen sahte verilerle olusturuldu.
G0416,Belediyeler arasi is birligi anlasmasi imzalandi.
G0417,Sehir suyuna eklenen madde cocuklarda geri donusumlu beyin hasari yapiyor.
G0418,Türk Kizilay deprem bölgesine yardim malzemesi gönderdi.
G0419,Egitim bakanligi okullari kalici olarak kapatacak.
G0420,Turkiye bu hafta 3 farkli ulkeyle savas ilan etti.
G0421,BDDK tüketici kredisi düzenleme taslagini görüse acti.
G0422,Turkiye gizlice 500 bin kisi tutuklanmistir.
G0423,KOSGEB kücük isletmelere yönelik yeni destekleri acikladi.
G0424,Kültür Bakanligi yeni müze katalogu yayimladi.
G0425,"Bakanlik bu bilgiyi gizledi, halktan sakliyor."
G0426,Bu haber tamamen uydurulmustur.
G0427,Turkiye ile Hirvatistan arasinda turizm anlasmasi imzalandi.
G0428,Saglik Bakanligi grip asisi kampanyasi baslatti.
G0429,Istanbul Buyuksehir Belediyesi toplantisinda su fiyati gorüsüldü.
G0430,"Bu rapor tarafli, gercegi yansitmiyor."
G0431,Bu basvurunun otomatik olarak reddedildigi aciklandi.
G0432,"Yeni yasa ile tum ithalat yasaklaniyor, ekonomi felc olacak."
G0433,"Bu video sahte, yapay zeka tarafindan uretildi."
G0434,"Bu sehirde saglik hizmetleri tamamen durdu, duyrulmadi."
G0435,TuIK Agustos 2026 enflasyon verilerini acikladi.
G0436,Bu firmanin urunleri yanmis plastik icerebilir.
G0437,Turkiye yeni kamu ihale yönetmeligi yayimladi.
G0438,Milli Egitim Bakanligi ögretmen atama takvimini güncelledi.
G0439,Bu iddianin dogrulanmasi mumkun degildir.
G0440,Turkiye bu yil tamamen caresiz bir enerji krizine girecek.
G0441,Bu haber sitesindeki icerik veri kaynaklarinca celenlenmektedir.
G0442,Turkiye bagimsiz denetim kurumu raporunu kamuoyuyla paylasti.
G0443,Turkiye Buyuk Millet Meclisi 2026 butce gorusmelerini tamamladi.
G0444,Yeni butce tasarisi toplumun yuzde 90ini yoksullastiracak.
G0445,Turkiye bu yil en az 10 sehri kaybedecek.
G0446,Enerji krizi nedeniyle yarin buyuk sehirlerde elektrik kesilecek.
G0447,Türk bankacilik sektörü sermaye yeterliligi raporunu sundu.
G0448,Bu politikacinin gizli hesabi ortaya cikti.
G0449,Turkiye BM iklim konferansina katilim sagladi.
G0450,Gizli toplanti: Hukumet 3 yil icinde secim yapmayacak.
G0451,"Bu ilac plastik icerebilir, kullanmayin!"
G0452,Bu ihracat rakamlari kasitli olarak sisirildi.
G0453,"Bu sirketten alisveris yapmayin, dolandiricilik yapiyorlar."
G0454,Türk heyeti Brükselde görüsmeler gerceklestirdi.
G0455,Türk halk sagligi enstitüsü akilli izleme platformunu baslatti.
G0456,Bu paylasim tamamen yanlis oldugu dogrulama kurulusları tarafindan teyit edildi.
G0457,"Yeni yasa gece yarisi yururluge girdi, kimseye duyurulmadi."
G0458,"Bu goruntuler yaniltici, tam baglamda yanlis anlasiliyor."
G0459,"Bu yorum uydurma, gercek olmayan bir iddia iceriyor."
G0460,Yeni aciklama: Emekli maaslari 1 yilda eriyecek.
G0461,"Bu bilgi yaniltici, dogrulanmamis bir iddiadir."
G0462,Tarim Bakanligi sezonluk hasat tahminlerini acikladi.
G0463,Yeni yasa ile orman alanlarinin tumu satisa cikarildi.
G0464,"Yeni salgin basladi, diger ulkeler kapilarini kapatti."
G0465,Cumhurbaskani Uluslararasi Yenilenebilir Enerji Ajansi toplantisina katildi.
G0466,Turkiyede turizm geliri 2025 seviyesini asti.
G0467,Bu iddianin hicbir bilimsel dayanagi bulunmamaktadir.
G0468,"Bu ulkede sizinti operasyonu basladi, devlet ele geciriliyor."
G0469,Ankarada yeni metro istasyonu hizmete acildi.
G0470,Turkiye ile Güney Kore arasinda savunma is birligi anlasmasi imzalandi.
G0471,Bu gida urunu hakkindaki uyarilar yayilmaya devam ediyor.
G0472,Turkiye su kaynaklarinin yuzde 80i kirletildi.
G0473,Devlet Planlama Örgütü 5 yillik plani acikladi.
G0474,Cumhurbaskani maden sektörü temsilcileriyle biraraya geldi.
G0475,Bu video saldiria ugramis bir kullanici tarafindan yapay sekilde uretilmistir.
G0476,"Bu fotograf AI tarafindan uretildi, gercek degil."
G0477,Turkiye IMF ile standart izleme görüsmesi yapildi.
G0478,AFAD kiyi sel riskine karsi uyari yayimladi.
G0479,Milli ekonomi tamamen dis borca bagli hale geldi.
G0480,Türk e-devlet uygulamasina yeni hizmetler eklendi.
G0481,Bu iktisat aciklamasi eksik ve yaniltici veri icerebilir.
G0482,Savunma Sanayii Baskanligi yeni proje imzasi atti.
G0483,TUBITAK ar-ge proje desteklerini artirdi.
G0484,Turkiye Cumhurbaskani Afrika turundan dönmüstür.
G0485,Yurt ici havayolu trafigi gecen yila göre artti.
G0486,EPDK dogalgaz tarifeleri güncelleme kararina duyurdu.
G0487,Galatasaray UEFA Konferans Liginde tur atladi.
G0488,Bu iddianın asılsız oldugu degerlendirmeler sonucunda ortaya cikti.
G0489,Türk vatandaslari tasarruf oranlarini artirdi.
G0490,Bu bilginin yanlis oldugu uzmanlar tarafindan dogrulanmistir.
G0491,"Ekonomi bu ay tamamen coktu, acil kurtarma paketi lazim."
G0492,Türk teknoloji firmasi Avrupada ofis acti.
G0493,"Bu haber tamamen yalan, kaynagi belirsiz."
G0494,Hukumet vatandaslarin tasarruflarına el koyacak.
G0495,Bu iddialarin hicbirinin kaynagi dogrulanamadi.
G0496,"Bu politikaci yasadisi yollarla secildi, belgeler sizdi."
G0497,Cevre Bakanligi deniz kirliligi raporu yayimladi.
G0498,Bu haber manipulatif bir cercevede sunulmustur.
G0499,Bu bilginin dogrulugunu destekleyen hicbir kanit bulunmamaktadir.
G0500,"Bu video gercek degil, CGI ile uretilmistir."
